step	loss
0	73.51008892059326
1	25.218076856931052
2	13.632174785931905
3	8.880123953024546
4	6.491556372245153
5	5.011094266176224
6	4.097901964187622
7	3.387771540880203
8	2.8097311784823735
9	2.445507996280988
10	2.0518458237250647
11	1.6965746367971102
12	1.432216361661752
13	1.2379237125317255
14	1.0592714930574099
15	0.9085869669914246
16	0.7833320165673892
17	0.6934360730151335
18	0.623774952441454
19	0.563851593931516
20	0.5278994992375374
21	0.5398716849585374
22	0.5556244095166524
23	0.4739962924271822
24	0.4151733992000421
25	0.28985160825153194
26	0.2233660196264585
27	0.19059539933999378
28	0.16782618773480257
29	0.14992749535789093
